ID,district,sector,month,psu,snumber,hhno,nhh,result,person_serial_no,residence,relationship,sex,birth_year,birth_month,age,registration,ethnicity,religion,marital_status,curr_educ,education,main_activity,is_active,main_occupation,industry,employment_status,B_year,NoOf_sickPersons,hhsize,visit_gov_hosp,visit_pvt_hosp,impatient_gov,impatient_pvt,chronic_illness,hhfoodexppm,haif_income,hhexppm,hhincomepm
111029101,11,2,3,111029,10,1,1,1,1,1,1,1,46,3,73,1,1,1,2,9,4,9,2, , ,7,1946,2,1,1,2,1,2,1,21437.143,11544.048,34955.383,23088.096
111030031,11,1,3,111030,3,1,1,1,1,1,1,2,41,4,77,1,1,1,4,9,8,7,2, , ,7,1941,2,1,2,1,2,2,1,16431.428,19792.8575,47366.266,39585.715
111030081,11,1,3,111030,8,1,1,1,1,1,1,1,82,11,36,1,1,1,2,9,8,1,1,8323,49222,5,1982,2,1,1,2,1,2,1,17040,21500,33937.363,43000
111030091,11,1,3,111030,9,1,1,1,1,1,1,1,76,7,42,1,1,5,2,9,8,1,1,7131,43306,3,1976,2,1,2,2,2,2,2,22375.715,18546.4275,25833.715,37092.855
111031011,11,1,3,111031,1,1,1,1,1,1,1,1,74,1,45,1,4,3,2,9,12,1,1,2330,85492,5,1974,2,2,1,2,2,2,1,33390,20683.334,58382.398,41366.668
111031021,11,1,3,111031,2,1,1,1,1,1,1,2,66,9,52,1,2,5,4,9,9,1,1,9112,88903,3,1966,2,1,1,2,2,2,1,22281.428,17352.1425,39251.086,34704.285
111031041,11,1,3,111031,4,1,1,1,1,1,1,1,87,12,31,1,3,4,2,9,11,1,1,9112,84110,3,1987,2,2,2,2,2,2,1,23665.715,20682.1425,44364.516,41364.285
111032031,11,1,4,111032,3,1,1,1,1,1,1,1,53,7,65,1,4,3,2,9,9,2,1,9112,84110,3,1953,2,1,2,2,2,2,1,14884.286,17800,28512.049,35600
111034061,11,2,4,111034,6,1,1,1,1,1,1,2,51,1,68,1,1,1,4,9,8,7,2, , ,7,1951,2,1,2,1,1,2,1,11550,20750,48358.629,41500
111036051,11,1,4,111036,5,1,1,1,1,1,1,1,73,1,46,1,1,1,2,9,10,1,1,6113,1120,5,1973,2,2,1,2,2,2,2,21878.572,21885.2385,63096.43,43770.477
111039051,11,2,4,111039,5,1,1,1,1,1,1,1,59,9,59,1,1,1,2,9,8,9,2, , ,7,1959,2,2,2,2,1,2,1,19945.715,19089.285,44425.371,38178.57
111039091,11,2,4,111039,9,1,1,1,1,1,1,2,51,2,68,1,1,1,7,9,10,7,2, , ,7,1951,1,1,1,2,2,2,2,20250,16442.8575,36222.145,32885.715
111040021,11,1,4,111040,2,1,1,1,1,1,1,1,75,9,43,1,1,1,2,9,3,1,1,8323,49222,5,1975,2,2,1,2,2,2,1,17447.143,15400,27821.061,30800
111040041,11,1,4,111040,4,1,1,1,1,1,1,1,79,2,40,1,1,5,2,9,5,1,1,5211,47529,3,1979,1,2,2,2,2,2,2,25032.857,21013.666,52923.164,42027.332
111040081,11,1,4,111040,8,1,1,1,1,1,1,2,55,2,64,1,1,4,4,9,6,9,2, , ,7,1955,1,2,2,1,2,2,2,17408.572,17375,45199.641,34750
111042101,11,1,4,111042,10,1,1,1,1,1,1,1,87,8,31,1,1,1,2,9,10,7,2, , ,7,1987,2,1,2,2,1,2,1,10637.143,15750,23484.873,31500
111044041,11,1,4,111044,4,1,1,1,1,1,1,1,75,7,43,1,1,1,2,9,13,1,1,3322,47725,5,1975,2,1,2,2,2,2,1,15814.286,17800,50874.477,35600
